descricao_produto;cod_prod;subgrupo;CB_DIEESE;CB_ACT;CB_MDS;Alim_desc1;Alim_desc2;IS_UPP;IS;IBS/CBS - 25% - Tax Burden;IBS/CBS - 25% - % General Tax Regime;IBS/CBS - 25% Impacts;IBS/CBS - 25% Value;IBS/CBS - 25% - % Simples Tax Regime;IBS/CBS - 25% Simples Impacts;IBS/CBS - 25% Simples Value;IBS/CBS - 26.9% - Tax Burden;IBS/CBS - 26.9% - % General Tax Regime;IBS/CBS - 26.9% Impacts;IBS/CBS - 26.9% Value;IBS/CBS - 26.9% - % Simples Tax Regime;IBS/CBS - 26.9% Simples Impacts;IBS/CBS - 26.9% Simples Value
LICOR DE QUALQUER SABOR;8301901;Bebidas alcoólicas;0;0;0;0;0;0;1;0.54494533;1;0;815115.6512;0;0;0;0.54494533;1;0;815115.6512;0;0;0
LIGA NEUTRA;7011602;Ultraprocessados;0;0;0;0;0;1;0;0.281445614;0.903132791;-0.109531079;6128.575933;0.096867209;0.037576966;765.9251016;0.281445614;0.903132791;-0.095995952;6221.730287;0.096867209;0.048463966;773.9617353
LIMA;1601430;Mobiliario e artigos do  lar;0;0;0;0;0;0;0;0.324826923;0.56189617;-0.1703393;2107.193534;0.43810383;-0.083256269;1815.4021;0.324826923;0.56189617;-0.157728458;2139.222875;0.43810383;-0.07532012;1831.117834
LIMA;6801901;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;627058.9252;0.096867209;0.122005556;66550.41138;0.066169971;0.903132791;0.15114333;636590.2208;0.096867209;0.136140333;67388.7987
LIMA COMUM;6801904;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;144192.001;0.096867209;0.122005556;15303.24599;0.066169971;0.903132791;0.15114333;146383.7194;0.096867209;0.136140333;15496.03289
LIMA DA PERSIA;6801902;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;778666.2787;0.096867209;0.122005556;82640.6564;0.066169971;0.903132791;0.15114333;790502.0062;0.096867209;0.136140333;83681.74505
LIMAO AZEDO;6802003;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;318349.9795;0.096867209;0.122005556;33786.81213;0.066169971;0.903132791;0.15114333;323188.8992;0.096867209;0.136140333;34212.45089
LIMAO BERGAMOTA;6802104;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;20275.83809;0.096867209;0.122005556;2151.895638;0.066169971;0.903132791;0.15114333;20584.03083;0.096867209;0.136140333;2179.004742
LIMAO BRANCO;6802012;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;16886.87151;0.096867209;0.122005556;1792.221115;0.066169971;0.903132791;0.15114333;17143.55196;0.096867209;0.136140333;1814.799119
LIMAO CAPETA;6802014;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;11058.15595;0.096867209;0.122005556;1173.613513;0.066169971;0.903132791;0.15114333;11226.23992;0.096867209;0.136140333;1188.398435
LIMAO CHINA;6802006;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;69656.21146;0.096867209;0.122005556;7392.685666;0.066169971;0.903132791;0.15114333;70714.98587;0.096867209;0.136140333;7485.81708
LIMAO COMUM;6802001;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;25556116.07;0.096867209;0.122005556;2712296.994;0.066169971;0.903132791;0.15114333;25944569.04;0.096867209;0.136140333;2746465.91
LIMAO COMUM ORGANICO;6810101;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;116949.6387;0.096867209;0.122005556;12411.98595;0.066169971;0.903132791;0.15114333;118727.2732;0.096867209;0.136140333;12568.34939
LIMAO CRAVO;6802011;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;12451.94052;0.096867209;0.122005556;1321.537309;0.066169971;0.903132791;0.15114333;12641.21002;0.096867209;0.136140333;1338.185742
LIMAO DE MOLHO;6802004;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;7050.394402;0.096867209;0.122005556;748.2656398;0.066169971;0.903132791;0.15114333;7157.560397;0.096867209;0.136140333;757.6921243
LIMAO GALEGO;6802101;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;820175.1965;0.096867209;0.122005556;87046.04071;0.066169971;0.903132791;0.15114333;832641.8595;0.096867209;0.136140333;88142.62742
LIMAO HAWAI;6802013;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;27977.86139;0.096867209;0.122005556;2969.319325;0.066169971;0.903132791;0.15114333;28403.12488;0.096867209;0.136140333;3006.726152
LIMAO NAO ESPECIFICADO;6809301;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;3760208.102;0.096867209;0.122005556;399074.7696;0.066169971;0.903132791;0.15114333;3817363.265;0.096867209;0.136140333;404102.225
LIMAO ORGANICO;6810601;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;806246.0604;0.096867209;0.122005556;85567.72711;0.066169971;0.903132791;0.15114333;818501.0005;0.096867209;0.136140333;86645.69035
LIMAO PAULISTA;6802008;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;161980.9385;0.096867209;0.122005556;17191.20431;0.066169971;0.903132791;0.15114333;164443.0488;0.096867209;0.136140333;17407.77528
LIMAO REFRIGERANTE;8200404;Bebidas adocadas;0;0;0;0;0;1;0;0.253487662;0.903132791;-0.079114423;16460.93972;0.096867209;-0.170222355;1590.874275;0.253487662;0.903132791;-0.065116962;16711.146;0.096867209;-0.162271979;1606.116971
LIMAO ROSA;6802007;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;516065.0078;0.096867209;0.122005556;54770.51229;0.066169971;0.903132791;0.15114333;523909.1959;0.096867209;0.136140333;55460.49905
LIMAO SICILIANO;6811101;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;314342.1612;0.096867209;0.122005556;33361.45823;0.066169971;0.903132791;0.15114333;319120.1621;0.096867209;0.136140333;33781.73848
LIMAO SILVESTRE;6802005;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;23351.82548;0.096867209;0.122005556;2478.353357;0.066169971;0.903132791;0.15114333;23706.77323;0.096867209;0.136140333;2509.575103
LIMAO TAITI;6802010;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;24602061.7;0.096867209;0.122005556;2611042.218;0.066169971;0.903132791;0.15114333;24976013.04;0.096867209;0.136140333;2643935.549
LIMAO VERDADEIRO;6802102;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;14765.79149;0.096867209;0.122005556;1567.108702;0.066169971;0.903132791;0.15114333;14990.23152;0.096867209;0.136140333;1586.850789
